Frame Number,Equation Line AB,Equation Line AC,Angle A,Angle B,Angle C
64,y = 1.90x + 8.28,y = -0.04x + 384.55,90.86945636195469,38.59073486872002,50.5398087693253
65,y = 1.86x + 16.33,y = -0.04x + 384.49,90.8817272069522,38.55164367978428,50.566629113263524
66,y = 1.84x + 19.85,y = -0.04x + 384.44,90.88404718400265,38.54676958783544,50.56918322816192
67,y = 1.88x + 13.19,y = -0.04x + 384.62,90.87231166487838,38.45527430947011,50.672414025651506
68,y = 1.95x + 0.09,y = -0.04x + 384.97,90.8485962694584,38.31271197959512,50.838691750946495
69,y = 2.03x + -14.75,y = -0.04x + 385.20,90.81990582707458,38.213148126300965,50.966946046624464
70,y = 2.06x + -20.96,y = -0.04x + 385.27,90.80870770622306,38.236271038637476,50.95502125513947
71,y = 2.11x + -30.19,y = -0.04x + 385.46,90.79948411182214,38.37216336650783,50.82835252167003
72,y = 2.20x + -48.13,y = -0.04x + 385.65,90.77070988209596,38.48745652759059,50.74183359031347
73,y = 2.33x + -73.17,y = -0.04x + 385.70,90.72049511265644,38.489200440657456,50.79030444668612
74,y = 2.36x + -77.15,y = -0.04x + 385.69,90.70852049589804,38.52563663532435,50.76584286877761
75,y = 2.42x + -88.60,y = -0.04x + 385.72,90.68606702698943,38.5088518556905,50.80508111732008
76,y = 2.41x + -87.75,y = -0.04x + 385.74,90.6853817767947,38.51311490952375,50.80150331368155
77,y = 2.33x + -70.99,y = -0.04x + 385.71,90.70856610499749,38.43604290455776,50.85539099044475
78,y = 2.20x + -46.86,y = -0.04x + 385.68,90.74883960740016,38.40363203320766,50.84752835939222
79,y = 2.07x + -21.47,y = -0.04x + 385.70,90.79942780977952,38.34624881808073,50.85432337213977
80,y = 2.03x + -12.90,y = -0.04x + 385.72,90.81528040251429,38.301866276338345,50.882853321147365
81,y = 2.03x + -13.97,y = -0.04x + 385.98,90.82915937726621,38.4473357460141,50.72350487671972
82,y = 1.99x + -5.12,y = -0.04x + 386.13,90.86150009596311,38.51156319469737,50.626936709339525
83,y = 2.00x + -6.46,y = -0.04x + 386.15,90.85984693633908,38.52303287234181,50.61712019131914
84,y = 1.97x + -0.87,y = -0.04x + 386.26,90.88190574483909,38.52025316544464,50.59784108971627
85,y = 1.97x + -2.24,y = -0.04x + 386.43,90.89276169031977,38.53795293055687,50.56928537912337
86,y = 1.92x + 8.33,y = -0.04x + 386.54,90.93602381140207,38.65179634745349,50.412179841144436
87,y = 1.93x + 6.05,y = -0.04x + 386.57,90.93458807685784,38.712428896582075,50.35298302656012
88,y = 1.92x + 8.57,y = -0.04x + 386.51,90.93392182822761,38.71220869517299,50.3538694765994
89,y = 1.99x + -4.45,y = -0.04x + 386.51,90.88869465265886,38.424511592398986,50.686793754942165
90,y = 2.23x + -50.70,y = -0.04x + 386.35,90.76568456124882,38.27787489511902,50.95644054363218
91,y = 2.77x + -152.49,y = -0.04x + 386.04,90.58571029733524,38.36176306120362,51.05252664146113
92,y = 3.81x + -347.82,y = -0.04x + 386.05,90.40139035529438,38.53804025901653,51.06056938568909
93,y = 9.04x + -1339.01,y = -0.04x + 385.47,90.1231669706307,38.531528959853674,51.345304069515635
94,y = -4.72x + 1267.23,y = -0.03x + 385.02,89.61512069582005,38.920966729543906,51.46391257463604
95,y = -2.06x + 764.02,y = -0.03x + 383.75,89.3107135183015,38.92319803874447,51.76608844295404
96,y = -0.18x + 409.80,y = -0.01x + 379.03,87.14434421926936,39.98672588087712,52.86892989985354
97,y = 0.11x + 355.21,y = 0.01x + 372.61,84.57925639587131,41.562952934780256,53.85779066934843
98,y = 0.24x + 331.27,y = 0.03x + 365.96,82.84054366016666,43.190126564635925,53.969329775197416
99,y = 0.30x + 318.33,y = 0.06x + 358.20,80.2906250191017,44.44626939958067,55.26310558131762
100,y = 0.36x + 304.68,y = 0.08x + 350.62,78.4119031551333,46.12696793549768,55.46112890936902
101,y = 0.37x + 302.89,y = 0.09x + 347.14,76.49132074369287,48.23120918060748,55.27747007569963
102,y = 0.38x + 300.32,y = 0.10x + 344.29,74.63884053486431,51.28852488588898,54.0726345792467
103,y = 0.41x + 294.60,y = 0.11x + 342.26,74.69340093767568,49.94343451481485,55.36316454750946
104,y = 0.44x + 289.45,y = 0.12x + 340.60,75.45368050642226,48.88217794289235,55.664141550685414
105,y = 0.47x + 283.14,y = 0.12x + 338.97,74.22679792190475,53.85305748355132,51.920144594543956
106,y = 0.40x + 293.89,y = 0.10x + 342.08,70.10882392292716,65.74063763539237,44.15053844168048
107,y = 0.39x + 295.90,y = 0.10x + 342.39,61.07481298453247,85.78896065157927,33.13622636388825
108,y = 0.38x + 297.04,y = 0.10x + 342.15,58.41106179153771,90.21177156214515,31.377166646317143
109,y = 0.39x + 296.30,y = 0.10x + 341.65,47.45649826123735,110.2279813155829,22.315520423179795
110,y = 0.40x + 292.53,y = 0.11x + 339.57,38.97053425242883,123.99358362273173,17.035882124839432
111,y = 0.43x + 285.56,y = 0.12x + 336.12,47.57195224896376,109.61238371388973,22.815664037146526
112,y = 0.45x + 281.80,y = 0.12x + 334.54,46.44980146369783,111.57282257986789,21.977375956434273
113,y = 0.44x + 282.89,y = 0.12x + 334.95,44.80185462390238,114.28397732435288,20.914168051744756
114,y = 0.44x + 284.17,y = 0.12x + 335.40,40.73010110110276,120.85861084754318,18.411288051354088
115,y = 0.44x + 284.29,y = 0.12x + 335.61,41.521750781618586,119.59664221227744,18.88160700610397
116,y = 0.44x + 284.25,y = 0.12x + 335.61,26.24532621198845,142.76532204281872,10.98935174519282
117,y = 0.41x + 291.32,y = 0.11x + 339.45,30.793840829019597,135.78693981819686,13.419219352783601
118,y = 0.40x + 296.26,y = 0.11x + 342.84,58.38059223515395,88.7351373399623,32.88427042488375
119,y = 0.36x + 305.91,y = 0.10x + 347.96,56.703026994903006,92.34056368896394,30.956409316133065
120,y = 0.37x + 308.11,y = 0.09x + 352.35,63.83484686440097,80.2830389807727,35.88211415482632
121,y = 0.32x + 320.02,y = 0.02x + 371.16,85.80804062971701,45.91223032006626,48.27972905021672
122,y = 0.04x + 374.69,y = 0.00x + 381.15,85.01887320620567,42.884564932222034,52.09656186157231
