Frame,Line1 Equation,Line2 Equation,Angle A (degrees),Angle B (degrees),Angle C (degrees)
136,y = 0.04x + 443.85,y = -0.01x + 452.70,177.06886047029113,2.5128067560491476,0.41833277365972465
137,y = 0.04x + 442.05,y = -0.01x + 451.00,177.0239840887221,2.559504140148731,0.41651177112916704
138,y = 0.06x + 439.17,y = -0.01x + 451.63,175.8361348610352,3.6058170569406687,0.5580480820241402
139,y = 0.07x + 437.68,y = -0.01x + 451.42,175.3544177414172,4.079441181357786,0.5661410772250202
140,y = 0.22x + 414.61,y = -0.01x + 451.80,166.76356252500227,12.645504997789496,0.5909324772082325
141,y = 0.19x + 419.66,y = -0.01x + 452.15,168.46476282584615,10.926068726258348,0.6091684478955006
142,y = -0.14x + 470.16,y = -0.00x + 450.02,7.500003541684859,172.2489966374612,0.25099982085393435
143,y = 0.01x + 446.76,y = 0.00x + 447.81,0.4036521195384124,179.5722149452531,0.024132935208484696
144,y = -0.03x + 452.67,y = -0.00x + 447.82,1.8644152970633636,178.0276678416684,0.10791686126822242
145,y = 0.03x + 441.85,y = 0.00x + 446.28,1.6969456444380742,178.19995327358558,0.10310108197634804
146,y = -0.05x + 454.62,y = -0.00x + 447.37,2.744502645128798,177.14511190143764,0.11038545343356532
147,y = -6.04x + 1381.79,y = -0.00x + 447.90,80.40117284983432,99.40558902461926,0.19323812554641506
148,y = 0.24x + 409.65,y = -0.01x + 448.43,166.0908177999345,13.615974300819538,0.2932078992459495
149,y = 0.15x + 423.53,y = -0.01x + 448.65,170.97218493190738,8.704431755204816,0.3233833128878061
150,y = 0.13x + 426.42,y = -0.01x + 448.85,171.96194592512336,7.685466743760242,0.35258733111639895
151,y = 0.13x + 427.21,y = -0.01x + 448.95,172.2180417660802,7.418201930966519,0.3637563029532762
152,y = 0.14x + 425.46,y = -0.01x + 449.23,171.52967033610818,8.046628309926042,0.42370135396577524
153,y = 0.13x + 426.53,y = -0.01x + 449.40,171.8842376040927,7.662884694060794,0.45287770184650267
154,y = 0.15x + 424.87,y = -0.01x + 449.54,171.2505963248585,8.26337070533556,0.48603296980594735
155,y = 0.14x + 424.97,y = -0.01x + 449.61,171.27402418609898,8.229610551867331,0.4963652620336845
156,y = 0.15x + 424.88,y = -0.01x + 449.67,171.22524986010305,8.269361009340688,0.5053891305562637
157,y = 0.15x + 424.42,y = -0.01x + 449.73,171.04413320338097,8.441238006041731,0.5146287905773033
158,y = 0.15x + 424.13,y = -0.01x + 449.76,170.93076314656048,8.549468935045665,0.519767918393855
159,y = 0.15x + 423.75,y = -0.01x + 449.80,170.78143410230294,8.692620246181795,0.5259456515152667
160,y = 0.16x + 423.34,y = -0.01x + 449.83,170.630305660249,8.83948632927293,0.5302080104780629
161,y = 0.16x + 423.20,y = -0.01x + 449.85,170.5752342186161,8.891738682280687,0.533027099103224
162,y = 0.16x + 423.02,y = -0.01x + 449.85,170.51022568680548,8.956585352622017,0.5331889605724989
163,y = 0.16x + 422.94,y = -0.01x + 449.86,170.47646505713294,8.989482721267693,0.5340522215993655
164,y = 0.16x + 422.63,y = -0.01x + 449.92,170.35006887488674,9.109444918833887,0.5404862062793683
165,y = 0.16x + 422.53,y = -0.01x + 449.98,170.29654002816753,9.159345381870285,0.544114589962188
166,y = 0.16x + 422.31,y = -0.01x + 450.00,170.210603292283,9.242935135836774,0.5464615718802293
167,y = 0.17x + 421.58,y = -0.01x + 450.04,169.93923512880556,9.510445620379917,0.5503192508145194
168,y = 0.17x + 421.23,y = -0.01x + 450.04,169.81223318805064,9.637015933032384,0.5507508789169755
169,y = 0.18x + 420.42,y = -0.01x + 450.07,169.51236928820828,9.934559832895722,0.5530708788960013
170,y = 0.18x + 419.91,y = -0.01x + 450.07,169.3264994765072,10.120672435206997,0.5528280882858088
